puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,chhit-chheⁿ,tshit-tshenn,,七星,,,,七星、北斗七星、北斗星,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chhit-chhiⁿ,tshit-tshinn,,七星,,,,七星、北斗七星、北斗星,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jī-cháiⁿ,jī-tsáinn,,二指,,,,二拇指、食指,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lī-cháiⁿ,lī-tsáinn,,二指,,,,二拇指、食指,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,tiau-tî,tiau-tî,,刁持,,,,存心、有意、刻意、故意、特地、特意、專程,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,tiau-kò͘-ì,tiau-kòo-ì,,刁故意,,,,存心、有意、刻意、故意,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,to-pèⁿ,to-pènn,,刀柄,,,,刀柄,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,to-pìⁿ,to-pìnn,,刀柄,,,,刀柄,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,pat-tin,pat-tin,,八珍,,,,八珍、三八,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lâng-bīn,lâng-bīn,,人面,,,,人、人脈、人數、人頭,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-lûn,jîn-lûn,,人倫,,,,人倫、倫理,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-lûn,lîn-lûn,,人倫,,,,人倫、倫理,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-oân,jîn-uân,,人員,,,,人力、人手、人員、人數、手腳,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-oân,lîn-uân,,人員,,,,人力、人手、人員、人數、手腳,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,ji̍p-chhù,ji̍p-tshù,,入厝,,,,搬新家、新居落成,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,li̍p-chhù,li̍p-tshù,,入厝,,,,搬新家、新居落成,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,Chhit-niû-má,Tshit-niû-má,,七娘媽,,,,註生娘娘、織女,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,Chhit-niû-má-seⁿ,Tshit-niû-má-senn,,七娘媽生,,,,七夕、七月初七、誕辰,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,Chhit-niû-má-siⁿ,Tshit-niû-má-sinn,,七娘媽生,,,,七夕、七月初七、誕辰,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-ke,jîn-ke,,人家,,,,民家、住宅、住家,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-ke,lîn-ke,,人家,,,,民家、住宅、住家,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-ke-chhù-á,jîn-ke-tshù-á,,人家厝仔,,,,民宅、住家,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-ke-chhù-á,lîn-ke-tshù-á,,人家厝仔,,,,民宅、住家,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,pat-ka-chiòng,pat-ka-tsiòng,,八家將,,,,八家將,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-keh,jîn-keh,,人格,,,,人格、品性、品格,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-keh,lîn-keh,,人格,,,,人格、品性、品格,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-khì,jîn-khì,,人氣,,,,人氣、人望、人緣、民望,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-khì,lîn-khì,,人氣,,,,人氣、人望、人緣、民望,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,to-tiam,to-tiam,,刀砧,,,,木頭砧板、砧板,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-má,jîn-má,,人馬,,,,人馬、兵馬,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-má,lîn-má,,人馬,,,,人馬、兵馬,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,ji̍p-īⁿ,ji̍p-īnn,,入院,,,,入院、住院,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,li̍p-īⁿ,li̍p-īnn,,入院,,,,入院、住院,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-sim,jîn-sim,,人參,,,,人參、高麗參,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-sim,lîn-sim,,人參,,,,人參、高麗參,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-chêng,jîn-tsîng,,人情,,,,人情,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-chêng,lîn-tsîng,,人情,,,,人情,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-chêng-sè-sū,jîn-tsîng-sè-sū,,人情世事,,,,人力、人事、人情、人情世故、公關,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-chêng-sè-sū,lîn-tsîng-sè-sū,,人情世事,,,,人力、人事、人情、人情世故、公關,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,ji̍p-kàu,ji̍p-kàu,,入教,,,,受洗、信教、皈依,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,li̍p-kàu,li̍p-kàu,,入教,,,,受洗、信教、皈依,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-bōng,jîn-bōng,,人望,,,,人氣、人望、人緣、民望,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
