puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source
chín,,,,賑,,,,,,teochew.chars
chín,,,,震,,,,,,teochew.chars
chíⁿ,,,,稚,,,,,,teochew.chars
chîⁿ,,,,薺,,,,,,teochew.chars
chîⁿ,,,,蠐,,,,,,teochew.chars
chîⁿ,,,,錢,,,,,,teochew.chars
chē,,,,寨,,,,,,teochew.chars
chĩ,,,,巳,,,,,,teochew.chars
chĩ,,,,舐,,,,,,teochew.chars
chĩn,,,,儘,,,,,,teochew.chars
chĩn,,,,盡,,,,,,teochew.chars
chẽng,,,,淨,,,,,,teochew.chars
chẽng,,,,靖,,,,,,teochew.chars
chẽng,,,,靚,,,,,,teochew.chars
chẽⁿ,,,,靜,,,,,,teochew.chars
eh,,,,厄,,,,,,teochew.chars
eh,,,,扼,,,,,,teochew.chars
eh,,,,軛,,,,,,teochew.chars
ek,,,,溢,,,,,,teochew.chars
ek,,,,臆,,,,,,teochew.chars
eng,,,,嬰,,,,,,teochew.chars
eng,,,,櫻,,,,,,teochew.chars
eng,,,,烟,,,,,,teochew.chars
eng,,,,煙,,,,,,teochew.chars
eng,,,,纓,,,,,,teochew.chars
eng,,,,罌,,,,,,teochew.chars
eng,,,,翁,,,,,,teochew.chars
eng,,,,膺,,,,,,teochew.chars
eng,,,,英,,,,,,teochew.chars
eng,,,,鶯,,,,,,teochew.chars
eng,,,,鷹,,,,,,teochew.chars
eng,,,,鸚,,,,,,teochew.chars
e̍k,,,,亦,,,,,,teochew.chars
e̍k,,,,億,,,,,,teochew.chars
e̍k,,,,奕,,,,,,teochew.chars
e̍k,,,,弈,,,,,,teochew.chars
e̍k,,,,憶,,,,,,teochew.chars
e̍k,,,,掖,,,,,,teochew.chars
e̍k,,,,易,,,,,,teochew.chars
e̍k,,,,浴,,,,,,teochew.chars
e̍k,,,,液,,,,,,teochew.chars
e̍k,,,,溢,,,,,,teochew.chars
e̍k,,,,疫,,,,,,teochew.chars
